Fold,scenario_id,group,w_idx,p_idx,k_idx
1,2347,in_sample,18,19,2
1,2349,in_sample,18,19,4
1,2352,in_sample,18,20,2
1,2370,in_sample,18,24,0
1,2373,in_sample,18,24,3
1,2427,in_sample,19,10,2
1,2457,in_sample,19,16,2
1,2531,in_sample,20,6,1
1,2541,in_sample,20,8,1
1,2550,in_sample,20,10,0
1,2564,in_sample,20,12,4
1,2630,in_sample,21,1,0
1,2634,in_sample,21,1,4
1,2649,in_sample,21,4,4
1,2666,in_sample,21,8,1
1,2713,in_sample,21,17,3
1,2727,in_sample,21,20,2
1,2739,in_sample,21,22,4
1,2746,in_sample,21,24,1
1,2747,in_sample,21,24,2
1,2754,in_sample,22,0,4
1,2771,in_sample,22,4,1
1,2775,in_sample,22,5,0
1,2776,in_sample,22,5,1
1,2790,in_sample,22,8,0
1,2794,in_sample,22,8,4
1,2823,in_sample,22,14,3
1,2828,in_sample,22,15,3
1,2838,in_sample,22,17,3
1,2854,in_sample,22,20,4
1,2863,in_sample,22,22,3
1,2870,in_sample,22,24,0
1,2873,in_sample,22,24,3
1,2876,in_sample,23,0,1
1,2888,in_sample,23,2,3
1,2904,in_sample,23,5,4
1,2910,in_sample,23,7,0
1,2911,in_sample,23,7,1
1,2924,in_sample,23,9,4
1,2931,in_sample,23,11,1
1,2937,in_sample,23,12,2
1,2939,in_sample,23,12,4
1,2961,in_sample,23,17,1
1,2970,in_sample,23,19,0
1,3005,in_sample,24,1,0
1,3028,in_sample,24,5,3
1,3031,in_sample,24,6,1
1,3032,in_sample,24,6,2
1,3049,in_sample,24,9,4
1,3062,in_sample,24,12,2
1,3071,in_sample,24,14,1
1,3099,in_sample,24,19,4
1,3100,in_sample,24,20,0
1,3,out_of_sample,0,0,3
1,4,out_of_sample,0,0,4
1,10,out_of_sample,0,2,0
1,11,out_of_sample,0,2,1
1,13,out_of_sample,0,2,3
1,14,out_of_sample,0,2,4
1,17,out_of_sample,0,3,2
1,18,out_of_sample,0,3,3
1,19,out_of_sample,0,3,4
1,22,out_of_sample,0,4,2
1,23,out_of_sample,0,4,3
1,26,out_of_sample,0,5,1
1,27,out_of_sample,0,5,2
1,36,out_of_sample,0,7,1
1,37,out_of_sample,0,7,2
1,38,out_of_sample,0,7,3
1,39,out_of_sample,0,7,4
1,40,out_of_sample,0,8,0
1,41,out_of_sample,0,8,1
1,49,out_of_sample,0,9,4
1,51,out_of_sample,0,10,1
1,56,out_of_sample,0,11,1
1,58,out_of_sample,0,11,3
1,59,out_of_sample,0,11,4
1,60,out_of_sample,0,12,0
1,61,out_of_sample,0,12,1
1,67,out_of_sample,0,13,2
1,68,out_of_sample,0,13,3
1,69,out_of_sample,0,13,4
1,73,out_of_sample,0,14,3
1,74,out_of_sample,0,14,4
1,76,out_of_sample,0,15,1
1,83,out_of_sample,0,16,3
1,84,out_of_sample,0,16,4
1,85,out_of_sample,0,17,0
1,86,out_of_sample,0,17,1
1,89,out_of_sample,0,17,4
1,90,out_of_sample,0,18,0
1,92,out_of_sample,0,18,2
1,95,out_of_sample,0,19,0
1,96,out_of_sample,0,19,1
1,97,out_of_sample,0,19,2
1,99,out_of_sample,0,19,4
1,101,out_of_sample,0,20,1
1,103,out_of_sample,0,20,3
1,105,out_of_sample,0,21,0
1,106,out_of_sample,0,21,1
1,108,out_of_sample,0,21,3
1,109,out_of_sample,0,21,4
1,110,out_of_sample,0,22,0
1,111,out_of_sample,0,22,1
1,113,out_of_sample,0,22,3
1,114,out_of_sample,0,22,4
1,117,out_of_sample,0,23,2
1,121,out_of_sample,0,24,1
1,122,out_of_sample,0,24,2
1,127,out_of_sample,1,0,2
1,129,out_of_sample,1,0,4
1,130,out_of_sample,1,1,0
1,131,out_of_sample,1,1,1
1,132,out_of_sample,1,1,2
1,135,out_of_sample,1,2,0
1,136,out_of_sample,1,2,1
1,137,out_of_sample,1,2,2
1,141,out_of_sample,1,3,1
1,142,out_of_sample,1,3,2
1,143,out_of_sample,1,3,3
1,144,out_of_sample,1,3,4
1,147,out_of_sample,1,4,2
1,149,out_of_sample,1,4,4
1,150,out_of_sample,1,5,0
1,152,out_of_sample,1,5,2
1,154,out_of_sample,1,5,4
1,156,out_of_sample,1,6,1
1,158,out_of_sample,1,6,3
1,165,out_of_sample,1,8,0
1,167,out_of_sample,1,8,2
1,170,out_of_sample,1,9,0
1,171,out_of_sample,1,9,1
1,173,out_of_sample,1,9,3
1,178,out_of_sample,1,10,3
1,179,out_of_sample,1,10,4
1,181,out_of_sample,1,11,1
1,183,out_of_sample,1,11,3
1,184,out_of_sample,1,11,4
1,186,out_of_sample,1,12,1
1,188,out_of_sample,1,12,3
1,193,out_of_sample,1,13,3
1,195,out_of_sample,1,14,0
1,196,out_of_sample,1,14,1
1,197,out_of_sample,1,14,2
1,198,out_of_sample,1,14,3
1,199,out_of_sample,1,14,4
1,200,out_of_sample,1,15,0
1,205,out_of_sample,1,16,0
1,206,out_of_sample,1,16,1
1,207,out_of_sample,1,16,2
1,209,out_of_sample,1,16,4
1,210,out_of_sample,1,17,0
1,211,out_of_sample,1,17,1
1,212,out_of_sample,1,17,2
1,214,out_of_sample,1,17,4
1,218,out_of_sample,1,18,3
1,219,out_of_sample,1,18,4
1,221,out_of_sample,1,19,1
1,222,out_of_sample,1,19,2
1,223,out_of_sample,1,19,3
1,225,out_of_sample,1,20,0
1,227,out_of_sample,1,20,2
1,229,out_of_sample,1,20,4
1,230,out_of_sample,1,21,0
1,234,out_of_sample,1,21,4
1,235,out_of_sample,1,22,0
1,236,out_of_sample,1,22,1
1,237,out_of_sample,1,22,2
1,238,out_of_sample,1,22,3
1,240,out_of_sample,1,23,0
1,241,out_of_sample,1,23,1
1,242,out_of_sample,1,23,2
1,243,out_of_sample,1,23,3
1,244,out_of_sample,1,23,4
1,245,out_of_sample,1,24,0
1,247,out_of_sample,1,24,2
1,249,out_of_sample,1,24,4
1,255,out_of_sample,2,1,0
1,256,out_of_sample,2,1,1
1,257,out_of_sample,2,1,2
1,258,out_of_sample,2,1,3
1,259,out_of_sample,2,1,4
1,260,out_of_sample,2,2,0
1,261,out_of_sample,2,2,1
1,263,out_of_sample,2,2,3
1,269,out_of_sample,2,3,4
1,274,out_of_sample,2,4,4
1,278,out_of_sample,2,5,3
1,281,out_of_sample,2,6,1
1,282,out_of_sample,2,6,2
1,283,out_of_sample,2,6,3
1,284,out_of_sample,2,6,4
1,285,out_of_sample,2,7,0
1,287,out_of_sample,2,7,2
1,288,out_of_sample,2,7,3
1,291,out_of_sample,2,8,1
1,292,out_of_sample,2,8,2
1,293,out_of_sample,2,8,3
1,294,out_of_sample,2,8,4
1,295,out_of_sample,2,9,0
1,297,out_of_sample,2,9,2
1,301,out_of_sample,2,10,1
1,302,out_of_sample,2,10,2
1,303,out_of_sample,2,10,3
1,304,out_of_sample,2,10,4
1,305,out_of_sample,2,11,0
1,306,out_of_sample,2,11,1
1,308,out_of_sample,2,11,3
1,309,out_of_sample,2,11,4
1,310,out_of_sample,2,12,0
1,312,out_of_sample,2,12,2
1,316,out_of_sample,2,13,1
1,318,out_of_sample,2,13,3
1,319,out_of_sample,2,13,4
1,320,out_of_sample,2,14,0
1,322,out_of_sample,2,14,2
1,324,out_of_sample,2,14,4
1,326,out_of_sample,2,15,1
1,330,out_of_sample,2,16,0
1,331,out_of_sample,2,16,1
1,336,out_of_sample,2,17,1
1,337,out_of_sample,2,17,2
1,338,out_of_sample,2,17,3
1,340,out_of_sample,2,18,0
1,342,out_of_sample,2,18,2
1,343,out_of_sample,2,18,3
1,350,out_of_sample,2,20,0
1,353,out_of_sample,2,20,3
1,354,out_of_sample,2,20,4
1,357,out_of_sample,2,21,2
1,358,out_of_sample,2,21,3
1,361,out_of_sample,2,22,1
1,363,out_of_sample,2,22,3
1,365,out_of_sample,2,23,0
1,369,out_of_sample,2,23,4
1,370,out_of_sample,2,24,0
1,372,out_of_sample,2,24,2
1,373,out_of_sample,2,24,3
1,374,out_of_sample,2,24,4
1,377,out_of_sample,3,0,2
1,379,out_of_sample,3,0,4
1,381,out_of_sample,3,1,1
1,386,out_of_sample,3,2,1
1,387,out_of_sample,3,2,2
1,388,out_of_sample,3,2,3
1,389,out_of_sample,3,2,4
1,392,out_of_sample,3,3,2
1,393,out_of_sample,3,3,3
1,394,out_of_sample,3,3,4
1,395,out_of_sample,3,4,0
1,396,out_of_sample,3,4,1
1,402,out_of_sample,3,5,2
1,403,out_of_sample,3,5,3
1,409,out_of_sample,3,6,4
1,414,out_of_sample,3,7,4
1,424,out_of_sample,3,9,4
1,425,out_of_sample,3,10,0
1,426,out_of_sample,3,10,1
1,431,out_of_sample,3,11,1
1,432,out_of_sample,3,11,2
1,437,out_of_sample,3,12,2
1,440,out_of_sample,3,13,0
1,442,out_of_sample,3,13,2
1,444,out_of_sample,3,13,4
1,447,out_of_sample,3,14,2
1,448,out_of_sample,3,14,3
1,453,out_of_sample,3,15,3
1,455,out_of_sample,3,16,0
1,456,out_of_sample,3,16,1
1,458,out_of_sample,3,16,3
1,460,out_of_sample,3,17,0
1,465,out_of_sample,3,18,0
1,467,out_of_sample,3,18,2
1,468,out_of_sample,3,18,3
1,470,out_of_sample,3,19,0
1,471,out_of_sample,3,19,1
1,473,out_of_sample,3,19,3
1,478,out_of_sample,3,20,3
1,479,out_of_sample,3,20,4
1,481,out_of_sample,3,21,1
1,485,out_of_sample,3,22,0
1,489,out_of_sample,3,22,4
1,492,out_of_sample,3,23,2
1,498,out_of_sample,3,24,3
1,499,out_of_sample,3,24,4
1,500,out_of_sample,4,0,0
1,501,out_of_sample,4,0,1
1,503,out_of_sample,4,0,3
1,506,out_of_sample,4,1,1
1,507,out_of_sample,4,1,2
1,508,out_of_sample,4,1,3
1,509,out_of_sample,4,1,4
1,513,out_of_sample,4,2,3
1,516,out_of_sample,4,3,1
1,517,out_of_sample,4,3,2
1,518,out_of_sample,4,3,3
1,519,out_of_sample,4,3,4
1,521,out_of_sample,4,4,1
1,523,out_of_sample,4,4,3
1,528,out_of_sample,4,5,3
1,529,out_of_sample,4,5,4
1,532,out_of_sample,4,6,2
1,534,out_of_sample,4,6,4
1,535,out_of_sample,4,7,0
1,536,out_of_sample,4,7,1
1,539,out_of_sample,4,7,4
1,542,out_of_sample,4,8,2
1,543,out_of_sample,4,8,3
1,546,out_of_sample,4,9,1
1,553,out_of_sample,4,10,3
1,556,out_of_sample,4,11,1
1,561,out_of_sample,4,12,1
1,562,out_of_sample,4,12,2
1,564,out_of_sample,4,12,4
1,565,out_of_sample,4,13,0
1,566,out_of_sample,4,13,1
1,567,out_of_sample,4,13,2
1,571,out_of_sample,4,14,1
1,573,out_of_sample,4,14,3
1,574,out_of_sample,4,14,4
1,575,out_of_sample,4,15,0
1,576,out_of_sample,4,15,1
1,577,out_of_sample,4,15,2
1,578,out_of_sample,4,15,3
1,579,out_of_sample,4,15,4
1,582,out_of_sample,4,16,2
1,583,out_of_sample,4,16,3
1,584,out_of_sample,4,16,4
1,585,out_of_sample,4,17,0
1,586,out_of_sample,4,17,1
1,589,out_of_sample,4,17,4
1,590,out_of_sample,4,18,0
1,591,out_of_sample,4,18,1
1,592,out_of_sample,4,18,2
1,597,out_of_sample,4,19,2
1,598,out_of_sample,4,19,3
1,603,out_of_sample,4,20,3
1,608,out_of_sample,4,21,3
1,613,out_of_sample,4,22,3
1,615,out_of_sample,4,23,0
1,617,out_of_sample,4,23,2
1,618,out_of_sample,4,23,3
1,620,out_of_sample,4,24,0
1,624,out_of_sample,4,24,4
1,627,out_of_sample,5,0,2
1,629,out_of_sample,5,0,4
1,632,out_of_sample,5,1,2
1,636,out_of_sample,5,2,1
1,642,out_of_sample,5,3,2
1,645,out_of_sample,5,4,0
1,652,out_of_sample,5,5,2
1,653,out_of_sample,5,5,3
1,657,out_of_sample,5,6,2
1,662,out_of_sample,5,7,2
1,664,out_of_sample,5,7,4
1,665,out_of_sample,5,8,0
1,671,out_of_sample,5,9,1
1,672,out_of_sample,5,9,2
1,673,out_of_sample,5,9,3
1,679,out_of_sample,5,10,4
1,681,out_of_sample,5,11,1
1,683,out_of_sample,5,11,3
1,684,out_of_sample,5,11,4
1,685,out_of_sample,5,12,0
1,686,out_of_sample,5,12,1
1,688,out_of_sample,5,12,3
1,689,out_of_sample,5,12,4
1,690,out_of_sample,5,13,0
1,695,out_of_sample,5,14,0
1,700,out_of_sample,5,15,0
1,702,out_of_sample,5,15,2
1,703,out_of_sample,5,15,3
1,706,out_of_sample,5,16,1
1,708,out_of_sample,5,16,3
1,709,out_of_sample,5,16,4
1,711,out_of_sample,5,17,1
1,712,out_of_sample,5,17,2
1,714,out_of_sample,5,17,4
1,716,out_of_sample,5,18,1
1,721,out_of_sample,5,19,1
1,723,out_of_sample,5,19,3
1,727,out_of_sample,5,20,2
1,729,out_of_sample,5,20,4
1,733,out_of_sample,5,21,3
1,734,out_of_sample,5,21,4
1,736,out_of_sample,5,22,1
1,737,out_of_sample,5,22,2
1,739,out_of_sample,5,22,4
1,741,out_of_sample,5,23,1
1,742,out_of_sample,5,23,2
1,748,out_of_sample,5,24,3
1,750,out_of_sample,6,0,0
1,754,out_of_sample,6,0,4
1,755,out_of_sample,6,1,0
1,756,out_of_sample,6,1,1
1,761,out_of_sample,6,2,1
1,763,out_of_sample,6,2,3
1,770,out_of_sample,6,4,0
1,773,out_of_sample,6,4,3
1,776,out_of_sample,6,5,1
1,778,out_of_sample,6,5,3
1,779,out_of_sample,6,5,4
1,781,out_of_sample,6,6,1
1,782,out_of_sample,6,6,2
1,784,out_of_sample,6,6,4
1,785,out_of_sample,6,7,0
1,786,out_of_sample,6,7,1
1,787,out_of_sample,6,7,2
1,788,out_of_sample,6,7,3
1,789,out_of_sample,6,7,4
1,790,out_of_sample,6,8,0
1,791,out_of_sample,6,8,1
1,794,out_of_sample,6,8,4
1,796,out_of_sample,6,9,1
1,798,out_of_sample,6,9,3
1,800,out_of_sample,6,10,0
1,801,out_of_sample,6,10,1
1,803,out_of_sample,6,10,3
1,805,out_of_sample,6,11,0
1,808,out_of_sample,6,11,3
1,813,out_of_sample,6,12,3
1,817,out_of_sample,6,13,2
1,819,out_of_sample,6,13,4
1,823,out_of_sample,6,14,3
1,826,out_of_sample,6,15,1
1,827,out_of_sample,6,15,2
1,828,out_of_sample,6,15,3
1,829,out_of_sample,6,15,4
1,831,out_of_sample,6,16,1
1,837,out_of_sample,6,17,2
1,841,out_of_sample,6,18,1
1,847,out_of_sample,6,19,2
1,848,out_of_sample,6,19,3
1,850,out_of_sample,6,20,0
1,852,out_of_sample,6,20,2
1,853,out_of_sample,6,20,3
1,854,out_of_sample,6,20,4
1,855,out_of_sample,6,21,0
1,860,out_of_sample,6,22,0
1,862,out_of_sample,6,22,2
1,864,out_of_sample,6,22,4
1,865,out_of_sample,6,23,0
1,867,out_of_sample,6,23,2
1,868,out_of_sample,6,23,3
1,872,out_of_sample,6,24,2
1,875,out_of_sample,7,0,0
1,877,out_of_sample,7,0,2
1,884,out_of_sample,7,1,4
1,887,out_of_sample,7,2,2
1,888,out_of_sample,7,2,3
1,889,out_of_sample,7,2,4
1,892,out_of_sample,7,3,2
1,898,out_of_sample,7,4,3
1,899,out_of_sample,7,4,4
1,902,out_of_sample,7,5,2
1,903,out_of_sample,7,5,3
1,905,out_of_sample,7,6,0
1,906,out_of_sample,7,6,1
1,909,out_of_sample,7,6,4
1,910,out_of_sample,7,7,0
1,912,out_of_sample,7,7,2
1,914,out_of_sample,7,7,4
1,915,out_of_sample,7,8,0
1,917,out_of_sample,7,8,2
1,920,out_of_sample,7,9,0
1,921,out_of_sample,7,9,1
1,927,out_of_sample,7,10,2
1,930,out_of_sample,7,11,0
1,936,out_of_sample,7,12,1
1,937,out_of_sample,7,12,2
1,939,out_of_sample,7,12,4
1,940,out_of_sample,7,13,0
1,944,out_of_sample,7,13,4
1,945,out_of_sample,7,14,0
1,947,out_of_sample,7,14,2
1,948,out_of_sample,7,14,3
1,950,out_of_sample,7,15,0
1,959,out_of_sample,7,16,4
1,963,out_of_sample,7,17,3
1,966,out_of_sample,7,18,1
1,971,out_of_sample,7,19,1
1,973,out_of_sample,7,19,3
1,976,out_of_sample,7,20,1
1,981,out_of_sample,7,21,1
1,983,out_of_sample,7,21,3
1,984,out_of_sample,7,21,4
1,985,out_of_sample,7,22,0
1,988,out_of_sample,7,22,3
1,989,out_of_sample,7,22,4
1,991,out_of_sample,7,23,1
1,996,out_of_sample,7,24,1
1,998,out_of_sample,7,24,3
1,1000,out_of_sample,8,0,0
1,1001,out_of_sample,8,0,1
1,1004,out_of_sample,8,0,4
1,1005,out_of_sample,8,1,0
1,1008,out_of_sample,8,1,3
1,1013,out_of_sample,8,2,3
1,1014,out_of_sample,8,2,4
1,1015,out_of_sample,8,3,0
1,1016,out_of_sample,8,3,1
1,1017,out_of_sample,8,3,2
1,1023,out_of_sample,8,4,3
1,1026,out_of_sample,8,5,1
1,1028,out_of_sample,8,5,3
1,1029,out_of_sample,8,5,4
1,1032,out_of_sample,8,6,2
1,1034,out_of_sample,8,6,4
1,1036,out_of_sample,8,7,1
1,1040,out_of_sample,8,8,0
1,1041,out_of_sample,8,8,1
1,1043,out_of_sample,8,8,3
1,1044,out_of_sample,8,8,4
1,1048,out_of_sample,8,9,3
1,1050,out_of_sample,8,10,0
1,1052,out_of_sample,8,10,2
1,1056,out_of_sample,8,11,1
1,1060,out_of_sample,8,12,0
1,1063,out_of_sample,8,12,3
1,1064,out_of_sample,8,12,4
1,1065,out_of_sample,8,13,0
1,1066,out_of_sample,8,13,1
1,1067,out_of_sample,8,13,2
1,1068,out_of_sample,8,13,3
1,1070,out_of_sample,8,14,0
1,1072,out_of_sample,8,14,2
1,1073,out_of_sample,8,14,3
1,1075,out_of_sample,8,15,0
1,1078,out_of_sample,8,15,3
1,1079,out_of_sample,8,15,4
1,1085,out_of_sample,8,17,0
1,1086,out_of_sample,8,17,1
1,1087,out_of_sample,8,17,2
1,1088,out_of_sample,8,17,3
1,1093,out_of_sample,8,18,3
1,1096,out_of_sample,8,19,1
1,1098,out_of_sample,8,19,3
1,1099,out_of_sample,8,19,4
1,1100,out_of_sample,8,20,0
1,1101,out_of_sample,8,20,1
1,1103,out_of_sample,8,20,3
1,1104,out_of_sample,8,20,4
1,1107,out_of_sample,8,21,2
1,1112,out_of_sample,8,22,2
1,1113,out_of_sample,8,22,3
1,1115,out_of_sample,8,23,0
1,1120,out_of_sample,8,24,0
1,1124,out_of_sample,8,24,4
1,1128,out_of_sample,9,0,3
1,1129,out_of_sample,9,0,4
1,1132,out_of_sample,9,1,2
1,1134,out_of_sample,9,1,4
1,1135,out_of_sample,9,2,0
1,1137,out_of_sample,9,2,2
1,1138,out_of_sample,9,2,3
1,1142,out_of_sample,9,3,2
1,1146,out_of_sample,9,4,1
1,1149,out_of_sample,9,4,4
1,1150,out_of_sample,9,5,0
1,1153,out_of_sample,9,5,3
1,1160,out_of_sample,9,7,0
1,1161,out_of_sample,9,7,1
1,1163,out_of_sample,9,7,3
1,1168,out_of_sample,9,8,3
1,1169,out_of_sample,9,8,4
1,1170,out_of_sample,9,9,0
1,1171,out_of_sample,9,9,1
1,1173,out_of_sample,9,9,3
1,1175,out_of_sample,9,10,0
1,1176,out_of_sample,9,10,1
1,1177,out_of_sample,9,10,2
1,1181,out_of_sample,9,11,1
1,1183,out_of_sample,9,11,3
1,1187,out_of_sample,9,12,2
1,1189,out_of_sample,9,12,4
1,1190,out_of_sample,9,13,0
1,1192,out_of_sample,9,13,2
1,1195,out_of_sample,9,14,0
1,1196,out_of_sample,9,14,1
1,1197,out_of_sample,9,14,2
1,1200,out_of_sample,9,15,0
1,1205,out_of_sample,9,16,0
1,1207,out_of_sample,9,16,2
1,1208,out_of_sample,9,16,3
1,1211,out_of_sample,9,17,1
1,1213,out_of_sample,9,17,3
1,1214,out_of_sample,9,17,4
1,1215,out_of_sample,9,18,0
1,1217,out_of_sample,9,18,2
1,1218,out_of_sample,9,18,3
1,1220,out_of_sample,9,19,0
1,1221,out_of_sample,9,19,1
1,1222,out_of_sample,9,19,2
1,1225,out_of_sample,9,20,0
1,1227,out_of_sample,9,20,2
1,1229,out_of_sample,9,20,4
1,1230,out_of_sample,9,21,0
1,1233,out_of_sample,9,21,3
1,1234,out_of_sample,9,21,4
1,1238,out_of_sample,9,22,3
1,1239,out_of_sample,9,22,4
1,1246,out_of_sample,9,24,1
1,1248,out_of_sample,9,24,3
1,1250,out_of_sample,10,0,0
1,1251,out_of_sample,10,0,1
1,1253,out_of_sample,10,0,3
1,1255,out_of_sample,10,1,0
1,1256,out_of_sample,10,1,1
1,1259,out_of_sample,10,1,4
1,1260,out_of_sample,10,2,0
1,1261,out_of_sample,10,2,1
1,1262,out_of_sample,10,2,2
1,1263,out_of_sample,10,2,3
1,1264,out_of_sample,10,2,4
1,1265,out_of_sample,10,3,0
1,1266,out_of_sample,10,3,1
1,1268,out_of_sample,10,3,3
1,1269,out_of_sample,10,3,4
1,1270,out_of_sample,10,4,0
1,1273,out_of_sample,10,4,3
1,1275,out_of_sample,10,5,0
1,1277,out_of_sample,10,5,2
1,1278,out_of_sample,10,5,3
1,1283,out_of_sample,10,6,3
1,1284,out_of_sample,10,6,4
1,1285,out_of_sample,10,7,0
1,1287,out_of_sample,10,7,2
1,1288,out_of_sample,10,7,3
1,1289,out_of_sample,10,7,4
1,1290,out_of_sample,10,8,0
1,1293,out_of_sample,10,8,3
1,1294,out_of_sample,10,8,4
1,1296,out_of_sample,10,9,1
1,1298,out_of_sample,10,9,3
1,1301,out_of_sample,10,10,1
1,1302,out_of_sample,10,10,2
1,1303,out_of_sample,10,10,3
1,1304,out_of_sample,10,10,4
1,1306,out_of_sample,10,11,1
1,1308,out_of_sample,10,11,3
1,1309,out_of_sample,10,11,4
1,1310,out_of_sample,10,12,0
1,1311,out_of_sample,10,12,1
1,1313,out_of_sample,10,12,3
1,1314,out_of_sample,10,12,4
1,1315,out_of_sample,10,13,0
1,1319,out_of_sample,10,13,4
1,1320,out_of_sample,10,14,0
1,1321,out_of_sample,10,14,1
1,1326,out_of_sample,10,15,1
1,1327,out_of_sample,10,15,2
1,1329,out_of_sample,10,15,4
1,1333,out_of_sample,10,16,3
1,1334,out_of_sample,10,16,4
1,1339,out_of_sample,10,17,4
1,1340,out_of_sample,10,18,0
1,1342,out_of_sample,10,18,2
1,1344,out_of_sample,10,18,4
1,1346,out_of_sample,10,19,1
1,1349,out_of_sample,10,19,4
1,1351,out_of_sample,10,20,1
1,1354,out_of_sample,10,20,4
1,1355,out_of_sample,10,21,0
1,1357,out_of_sample,10,21,2
1,1359,out_of_sample,10,21,4
1,1361,out_of_sample,10,22,1
1,1364,out_of_sample,10,22,4
1,1365,out_of_sample,10,23,0
1,1368,out_of_sample,10,23,3
1,1369,out_of_sample,10,23,4
1,1371,out_of_sample,10,24,1
1,1372,out_of_sample,10,24,2
1,1375,out_of_sample,11,0,0
1,1376,out_of_sample,11,0,1
1,1381,out_of_sample,11,1,1
1,1382,out_of_sample,11,1,2
1,1385,out_of_sample,11,2,0
